Wed Sep  3 14:32:02 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:03 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:05 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:07 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:09 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:10 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:12 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:14 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:16 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:17 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:19 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:21 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:22 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:24 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:26 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:28 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:29 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:31 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:33 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:35 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:36 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:51 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:52 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:54 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:56 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:57 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:32:59 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
Wed Sep  3 14:33:01 2025: Total errors: 0, Set: 0, Reset: 0,  shutter is:CLOSED, DUT current is: 6.38, IC current is: 0.00,  PSU current is: 0.0000 A
